Course,Level,ID,Project Name,Project Type,Project Theme,Learning Objectives,Vocabulary,CSTA Standards
CS Dimensions with VR,5,5.4,Guess the Animal,Independent Project,"In this project, students are answering questions to guess the correct animal! Keep track of the size, color, and other features of the correct animal to make a guess after answering all of the questions.","Students will:
- Create a list of animals that contains a list of each animal's features
- Store a random animal from the list of animals
- Create nested conditionals with multiple questions for the Player
- Use a loop to determine if the correct animal was chosen","Break, Return","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,5,5.5,Space Base,Independent Project,"In this project, students are working on a base in outer space! Students will be assigned a random list of objectives that need to be completed to help maintain the base.","Students will:
- Create a list of mission objectives
- Choose random objectives from the list of mission objectives
- Use loops to compare two lists to check if all objectives have been completed
- Prevent the Player from completing objectives that are not on the list","Break, Return","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,5,5.6,Passion Project,Independent Project,"In this project, students will create and design a CoSpace of their choice.","Students will:
- Use lists
- Use functions","Break, Return","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
Web Development,1,1.1,I'm Hungry,Guided Project,"In this project, students build a website about their favorite food.","Students will:
- Create a <body> to hold everything on their page
- Label words as headings or paragraphs using tags
- Show a picture on a webpage using a tag and attributes
- Make a list using nested elements","Debugging, Editor, HTML, Markup language, Nesting, Pixel, Web browser, Embed, Link, URL, Attribute, <body>, Element, Heading tags, <img>, <p>, Tag, Width, <a>, <footer>, <header>, <iframe>, <main>, <section>, Semantic tags, Style, Background, Color, Inheritance, Margin, Parent and child elements, Text-align","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,1,1.2,Fan Review,Guided Project,"In this project, students create a webpage for a review of a movie, show, book, or something else they like.","Students will:
- Use grouping elements like <header> and <section> to organize your page
- Include a video or other media using an <iframe>
- Create clickable links to other websites using the <a> tag
- Change the colors and spacing on your page using the style attribute","Debugging, Editor, HTML, Markup language, Nesting, Pixel, Web browser, Embed, Link, URL, Attribute, <body>, Element, Heading tags, <img>, <p>, Tag, Width, <a>, <footer>, <header>, <iframe>, <main>, <section>, Semantic tags, Style, Background, Color, Inheritance, Margin, Parent and child elements, Text-align","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,1,1.3,Optical Illusions,Team Project,"In this project, student teams create a gallery of at least two optical illusions.","Student team will:
- Label words, lists, and images using tags
- Use grouping elements like <header> and <section> to organize your page
- Create links to other websites
- Change the colors and spacing on your page using the style attribute","Debugging, Editor, HTML, Markup language, Nesting, Pixel, Web browser, Embed, Link, URL, Attribute, <body>, Element, Heading tags, <img>, <p>, Tag, Width, <a>, <footer>, <header>, <iframe>, <main>, <section>, Semantic tags, Style, Background, Color, Inheritance, Margin, Parent and child elements, Text-align","2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-22"
Web Development,1,1.4,Two Truths One Lie,Independent Project,"In this project, students create a website with three facts about themselves. Students will choose two true facts and one ""fact"" that's actually a lie. Students will use images and links to tell the reader what's true and what's not.","Students will:
- Label words and images using tags
- Use grouping elements like <header> and <section> to organize your page
- Create links to other websites, images, or videos
- Change the colors and spacing on your page using the style attribute","Debugging, Editor, HTML, Markup language, Nesting, Pixel, Web browser, Embed, Link, URL, Attribute, <body>, Element, Heading tags, <img>, <p>, Tag, Width, <a>, <footer>, <header>, <iframe>, <main>, <section>, Semantic tags, Style, Background, Color, Inheritance, Margin, Parent and child elements, Text-align","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,1,1.5,Cheer Up!,Independent Project,"In this project, students create a website to help cheer someone up. Students will use pictures and videos that this person will find funny, and write a list of things that make this person happy.","Students will:
- Label words, lists, and images using tags
- Use grouping elements like <header> and <section> to organize your page
- Create links to other websites, images, or videos
- Change the colors and spacing on your page using the style attribute","Debugging, Editor, HTML, Markup language, Nesting, Pixel, Web browser, Embed, Link, URL, Attribute, <body>, Element, Heading tags, <img>, <p>, Tag, Width, <a>, <footer>, <header>, <iframe>, <main>, <section>, Semantic tags, Style, Background, Color, Inheritance, Margin, Parent and child elements, Text-align","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,1,1.6,Passion Project,Independent Project,"In this project, students create and design a website of their choice.","Students will:
- Label words, lists, and images using tags
- Use grouping elements like <header> and <section> to organize your page
- Create links to other websites, images, or videos
- Change the colors and spacing on your page using the style attribute","Debugging, Editor, HTML, Markup language, Nesting, Pixel, Web browser, Embed, Link, URL, Attribute, <body>, Element, Heading tags, <img>, <p>, Tag, Width, <a>, <footer>, <header>, <iframe>, <main>, <section>, Semantic tags, Style, Background, Color, Inheritance, Margin, Parent and child elements, Text-align","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,2,2.1,Shopping Spree,Guided Project,"In this project, students build a website for their ultimate shopping list.","Students will:
- Use head, title, and link elements
- Use hr elements to separate sections
- Add styling with a style.css file
- Add styling with font changes, borders, and hover","CSS, Formatted text, Syntax, Title bar, User agent, Boilerplate, Hex color code, <head>, <hr>, <link>, Stylesheet, <title>, Doctype, <html>, <meta>, <span>, <table>, Border, Declaration, Font-family,  Font-size, :hover, Property,  Selector, Value, Box model, Linear-gradient, Padding","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,2,2.2,Restaurant Menu,Guided Project,"In this project, students will create a website to advertise a restaurant.","Students will:
- Create a table with tr, th, and td elements
- Use the span element to change styles
- Change the background with a linear-gradient
- Add styling with padding, margin, and font changes ","CSS, Formatted text, Syntax, Title bar, User agent, Boilerplate, Hex color code, <head>, <hr>, <link>, Stylesheet, <title>, Doctype, <html>, <meta>, <span>, <table>, Border, Declaration, Font-family,  Font-size, :hover, Property,  Selector, Value, Box model, Linear-gradient, Padding","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,2,2.3,Playlist Creator,Team Project,"In this project, student teams will create a table with a playlist of links.","Student teams will:
- Create a styled table with playlist information
- Use text styling in the playlist
- Center the playlist on the page","CSS, Formatted text, Syntax, Title bar, User agent, Boilerplate, Hex color code, <head>, <hr>, <link>, Stylesheet, <title>, Doctype, <html>, <meta>, <span>, <table>, Border, Declaration, Font-family,  Font-size, :hover, Property,  Selector, Value, Box model, Linear-gradient, Padding","2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-22"
Web Development,2,2.4,Endangered Species,Independent Project,"In this project, students build a website that teaches people about one endangered species. ","Students will:
- Create a styled table with information about the endangered species
- Use text styling in the table
- Use the hover effect to change text
- Style the table with borders and font changes
- Center selected elements on the webpage ","CSS, Formatted text, Syntax, Title bar, User agent, Boilerplate, Hex color code, <head>, <hr>, <link>, Stylesheet, <title>, Doctype, <html>, <meta>, <span>, <table>, Border, Declaration, Font-family,  Font-size, :hover, Property,  Selector, Value, Box model, Linear-gradient, Padding","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,2,2.5,This or That,Independent Project,"In this project, students create a table of choices between two options. ","Students will:
- Create a styled table with information about the two options
- Use text styling in the table
- Use the hover effect to change text
- Style the table with borders and font changes
- Center selected elements on the webpage","CSS, Formatted text, Syntax, Title bar, User agent, Boilerplate, Hex color code, <head>, <hr>, <link>, Stylesheet, <title>, Doctype, <html>, <meta>, <span>, <table>, Border, Declaration, Font-family,  Font-size, :hover, Property,  Selector, Value, Box model, Linear-gradient, Padding","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,2,2.6,Passion Project,Independent Project,"In this project, students will create and design a website of their choice.","Students will:
- Create a styled table
- Use text styling in the table
- Use the hover effect to change text
- Style the table with borders and font changes
- Center selected elements on the webpage ","CSS, Formatted text, Syntax, Title bar, User agent, Boilerplate, Hex color code, <head>, <hr>, <link>, Stylesheet, <title>, Doctype, <html>, <meta>, <span>, <table>, Border, Declaration, Font-family,  Font-size, :hover, Property,  Selector, Value, Box model, Linear-gradient, Padding","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,3,3.1,Awards Show,Guided Project,"In this project, students build a website that announces three award winners.","Students will:
- Change the design of the parts of a webpage by giving each one a class
- Animate parts of a website using transform
- Create a directory to store images for a website
- Load web fonts and backgrounds before the rest of the webpage","Multiple HTML pages, Google Fonts, Background images and background-blend, Preconnect & Preload, Navbar, CSS classes, Multiple CSS classes, Image alt text, Universal * CSS selector,  display: block, display: inline-block, display: flex, flexbox, align-items, justify-content, flex-flow, position: fixed, line-height, object-position and object-fit, border-radius, negative margins, Multiple CSS selectors, BEM (class naming), Unsplash/public domain, images/img directory, folder, Parameter, Return Value, src (source)","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,3,3.2,Festival Planner,Guided Project,"In this project, students will create a webpage for a festival with different events or performers.","Students will:
- Build a website that navigates to different HTML files, each one for part of a festival
- Fix the position of a navigation menu so it doesn't move during scrolling
- Use display to change the layout of elements on a page
- Use flexbox to create a layout that moves when the browser size changes","Multiple HTML pages, Google Fonts, Background images and background-blend, Preconnect & Preload, Navbar, CSS classes, Multiple CSS classes, Image alt text, Universal * CSS selector,  display: block, display: inline-block, display: flex, flexbox, align-items, justify-content, flex-flow, position: fixed, line-height, object-position and object-fit, border-radius, negative margins, Multiple CSS selectors, BEM (class naming), Unsplash/public domain, images/img directory, folder, Parameter, Return Value, src (source)","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,3,3.3,Epic Mission,Team Project,"In this project, student teams will create an epic mission for the user to go on.","Student teams will:
- Change the design of the parts of a webpage by giving each one a class
- Animate parts of a website using transform
- Create a directory to store images for a website
- Load web fonts and backgrounds before the rest of the webpage
- Build a website that navigates to different HTML files
- Fix the position of a navigation menu so it doesn't move during scrolling
- Use display to change the layout of elements on a page
- Use flexbox to create a layout that moves when the browser size changes","Multiple HTML pages, Google Fonts, Background images and background-blend, Preconnect & Preload, Navbar, CSS classes, Multiple CSS classes, Image alt text, Universal * CSS selector,  display: block, display: inline-block, display: flex, flexbox, align-items, justify-content, flex-flow, position: fixed, line-height, object-position and object-fit, border-radius, negative margins, Multiple CSS selectors, BEM (class naming), Unsplash/public domain, images/img directory, folder, Parameter, Return Value, src (source)","2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-22"
Web Development,3,3.4,Choose Your Fighter,Independent Project,"In this project, students create a website where the user gets to simulate different battles.","Students will:
- Change the design of the parts of a webpage by giving each one a class
- Animate parts of a website using transform
- Create a directory to store images for a website
- Load web fonts and backgrounds before the rest of the webpage
- Build a website that navigates to different HTML files
- Fix the position of a navigation menu so it doesn't move during scrolling
- Use display to change the layout of elements on a page
- Use flexbox to create a layout that moves when the browser size changes","Multiple HTML pages, Google Fonts, Background images and background-blend, Preconnect & Preload, Navbar, CSS classes, Multiple CSS classes, Image alt text, Universal * CSS selector,  display: block, display: inline-block, display: flex, flexbox, align-items, justify-content, flex-flow, position: fixed, line-height, object-position and object-fit, border-radius, negative margins, Multiple CSS selectors, BEM (class naming), Unsplash/public domain, images/img directory, folder, Parameter, Return Value, src (source)","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,3,3.5,Meme Museum,Independent Project,"In this project, students build a website that catalogs their favorite memes.","Students will:
- Change the design of the parts of a webpage by giving each one a class
- Animate parts of a website using transform
- Create a directory to store images for a website
- Load web fonts and backgrounds before the rest of the webpage
- Build a website that navigates to different HTML files
- Fix the position of a navigation menu so it doesn't move during scrolling
- Use display to change the layout of elements on a page
- Use flexbox to create a layout that moves when the browser size changes","Multiple HTML pages, Google Fonts, Background images and background-blend, Preconnect & Preload, Navbar, CSS classes, Multiple CSS classes, Image alt text, Universal * CSS selector,  display: block, display: inline-block, display: flex, flexbox, align-items, justify-content, flex-flow, position: fixed, line-height, object-position and object-fit, border-radius, negative margins, Multiple CSS selectors, BEM (class naming), Unsplash/public domain, images/img directory, folder, Parameter, Return Value, src (source)","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,3,3.6,Passion Project,Independent Project,"In this project, students will create and design a website of their choice.","Students will:
- Change the design of the parts of a webpage by giving each one a class
- Animate parts of a website using transform
- Create a directory to store images for a website
- Load web fonts and backgrounds before the rest of the webpage
- Build a website that navigates to different HTML files
- Fix the position of a navigation menu so it doesn't move during scrolling
- Use display to change the layout of elements on a page
- Use flexbox to create a layout that moves when the browser size changes","Multiple HTML pages, Google Fonts, Background images and background-blend, Preconnect & Preload, Navbar, CSS classes, Multiple CSS classes, Image alt text, Universal * CSS selector,  display: block, display: inline-block, display: flex, flexbox, align-items, justify-content, flex-flow, position: fixed, line-height, object-position and object-fit, border-radius, negative margins, Multiple CSS selectors, BEM (class naming), Unsplash/public domain, images/img directory, folder, Parameter, Return Value, src (source)","2-AP-13, 2-AP-17, 3A-AP-19, 3A-AP-21"
Web Development,4,4.1,Digital Pet,Guided Project,"In this project, students will create their own digital pet that they can name and interact with.","Students will:
- Learn how to write JavaScript code and connect it to their HTML webpage
- Use <form> and <button> to create an HTML form that allows users to input data
- Use Document Object Methods such as getElementById and addEventListener to handle form submission
- Use the HTML onclick attribute to trigger an event when a button is clicked
- Write a JavaScript function that can dynamically change the content of the webpage","function, <form>, <button>, type, <label>, <input>, onclick, cursor, after, JavaScript, document.getElementbyId, innerHTML,  addEventListener, variables, createElement, innerText, classList, appendChild, Increment (++)","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Web Development,4,4.2,Postify,Guided Project,"In this project, students will create their own social media platform that allows users to post to the webpage.","Students will:
- Use <form> and <button> to create an HTML form that allows users to input data
- Use Document Object Methods such as createElement and appendChild to dynamically add text and images to the webpage
- Use event listeners to keep track of the number of likes","function, <form>, <button>, type, <label>, <input>, onclick, cursor, after, JavaScript, document.getElementbyId, innerHTML,  addEventListener, variables, createElement, innerText, classList, appendChild, Increment (++)","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Web Development,4,4.3,Mystery Mansion,Team Project,"In this project, student teams will create a “choose your own adventure”, multi-page interactive website where users will navigate through the pages by making choices at each stage that lead to different outcomes.","Students will:
- Create interactive elements using functions, Document Object Methods, and event listeners.
- Map out multiple webpages and create a README document","function, <form>, <button>, type, <label>, <input>, onclick, cursor, after, JavaScript, document.getElementbyId, innerHTML,  addEventListener, variables, createElement, innerText, classList, appendChild, Increment (++)","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Web Development,4,4.4,Personality Quizmaker,Independent Project,"In this project, students will create a multiple-choice personality quiz on a theme of their choosing.","Students will:
- Use Document Object methods to provide feedback to the user on their answer.
- Use Document Object methods to keep count of the user’s answers.
- Use the onclick attribute to call functions.
- Write JavaScript functions that perform tasks.","function, <form>, <button>, type, <label>, <input>, onclick, cursor, after, JavaScript, document.getElementbyId, innerHTML,  addEventListener, variables, createElement, innerText, classList, appendChild, Increment (++)","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Web Development,4,4.5,Passion Project,Independent Project,"In this project, students will create and design a website of their choice.","Students will:
- Create a table with borders, margins, and padding
- Decorate the text on your page using font-family and other CSS properties
- Change the look of your page when you hover over certain elements
- Use a <span> to add style to one part a larger whole","function, <form>, <button>, type, <label>, <input>, onclick, cursor, after, JavaScript, document.getElementbyId, innerHTML,  addEventListener, variables, createElement, innerText, classList, appendChild, Increment (++)","2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Web Development,5,5.1,Product Insights,Guided Project,"In this project, students will create a webpage that compares and provides information on three different consumer products. After visiting this webpage, the user will know the different pros and cons, tips and tricks, and recommendations to make a purchase!","Students will:
- Gain familiarity with Web Design and how User Experience is an essential part of creating webpages
- Gain familiarity with commonly used Web Design patterns and conventions
- Create a wireframe to layout content and functionality of their web page
- Create a review form with radio inputs for users to add ratings to their review
- Use Javascript Methods to dynamically add User Reviews to their product pages","Web Design, User interface, User experience, Wireframe, querySelector, Bootstrap, Radio, Usability, Design Patterns, Design Conventions, F-shaped Pattern, Grid Layout, Color Palette (analogous, monochromatic, triad, complementary, split complementary), Responsive Web Design, Modal Button","2-AP-11, 2-AP-13, 2-AP-14, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Web Development,5,5.2,Personal Portfolio,Guided Project,"In this project, students will create a personal portfolio webpage that highlights four websites they’ve created in this course so far.","Students will:
- Choose a color palette based on the five main types of color palettes
- Gain familiarity with Bootstrap’s grid system to layout content
- Utilize Bootstrap’s Modal Plugin to provide information in a popup window
- Reflect on the technical skills used in each webpage they have created","Web Design, User interface, User experience, Wireframe, querySelector, Bootstrap, Radio, Usability, Design Patterns, Design Conventions, F-shaped Pattern, Grid Layout, Color Palette (analogous, monochromatic, triad, complementary, split complementary), Responsive Web Design, Modal Button","2-AP-11, 2-AP-13, 2-AP-14, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Web Development,5,5.3,Code Corporation,Team Project,"In this project, you will work together as a team to create a well-designed website for your very own fictional company.","Students will:
- Adapt a Bootstrap theme to create a well-designed, responsive website
- Organize content to make your website easy to navigate
- Use JavaScript to add interactivity to your website","Web Design, User interface, User experience, Wireframe, querySelector, Bootstrap, Radio, Usability, Design Patterns, Design Conventions, F-shaped Pattern, Grid Layout, Color Palette (analogous, monochromatic, triad, complementary, split complementary), Responsive Web Design, Modal Button","2-AP-11, 2-AP-13, 2-AP-14, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Web Development,5,5.4,Life Frame,Independent Project,"In this project, students will create a personal website all about themselves! This independent project allows students to design a site with multiple pages showcasing their hobbies, interests, family, and anything else they’re passionate about.","Students will:
- Create multiple pages that organize information efficiently
- Create engaging and interactive elements that showcase their personality ","Web Design, User interface, User experience, Wireframe, querySelector, Bootstrap, Radio, Usability, Design Patterns, Design Conventions, F-shaped Pattern, Grid Layout, Color Palette (analogous, monochromatic, triad, complementary, split complementary), Responsive Web Design, Modal Button","2-AP-11, 2-AP-13, 2-AP-14, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Web Development,5,5.5,Passion Project,Independent Project,"In this project, students will create and design a website of their choice.","Students will:
- Create a website keeping in mind the overall User Experience
- Utilize various web design principles to design webpages that have a visually appealing User Interface","Web Design, User interface, User experience, Wireframe, querySelector, Bootstrap, Radio, Usability, Design Patterns, Design Conventions, F-shaped Pattern, Grid Layout, Color Palette (analogous, monochromatic, triad, complementary, split complementary), Responsive Web Design, Modal Button","2-AP-11, 2-AP-13, 2-AP-14, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-16, 3A-AP-17, 3A-AP-19, 3A-AP-21, 3A-AP-23"
Intro to Python,1,1.1,Fortune Teller,Guided Project,"In this project, students build a fortune teller program that answers yes-or-no questions.","Students will:
- Use print() to print words on the screen
- Use input() to get questions from the user
- Store words inside strings
- Use Python syntax to avoid errors in their code","Argument, Call, Console, Debugging, Assign, Comment, Operator, Pseudocode, Variable, Editor, Error, Function, Input, Output, Program, Assign, Run, String, Syntax, User, input(), print(), f-string, multiline string","2-AP-10, 2-AP-13, 2-AP-17, 3A-AP-13"
Intro to Python,1,1.2,Interactive Story,Guided Project,"In this project, students build a program that allows users to write a story with fill-in-the-blanks. Another student will type words into the blanks without seeing the story. At the end, a funny or strange story will print on the screen.","Students will:
- Follow a plan for a program using pseudocode
- Store words inside variables
- Print blank lines to add space in the console
- Add words to the story using f-strings","Argument, Call, Console, Debugging, Assign, Comment, Operator, Pseudocode, Variable, Editor, Error, Function, Input, Output, Program, Assign, Run, String, Syntax, User, input(), print(), f-string, multiline string","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,1,1.3,User Namer,Team Project,"In this project, student teams build a program that creates usernames for social media or email accounts.","Student teams will:
- Follow a plan for a program using pseudocode
- Store information and input using variables
- Call functions in their code
- Add code to strings using f-strings","Argument, Call, Console, Debugging, Assign, Comment, Operator, Pseudocode, Variable, Editor, Error, Function, Input, Output, Program, Assign, Run, String, Syntax, User, input(), print(), f-string, multiline string","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,1,1.4,Movie Trailer,Independent Project,"In this project, students create a program that writes a movie trailer. The program will ask the user about things they like, and turn their answers into a movie they'll love!","Students will:
- Follow a plan for a program using pseudocode
- Store input using variables
- Call functions in their code
- Add code to strings using f-strings","Argument, Call, Console, Debugging, Assign, Comment, Operator, Pseudocode, Variable, Editor, Error, Function, Input, Output, Program, Assign, Run, String, Syntax, User, input(), print(), f-string, multiline string","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,1,1.5,Big Debut,Independent Project,"In this project, students build a program that introduces the members of a group or a team.","Students will:
- Follow a plan for a program using pseudocode
- Store names and adjectives using variables
- Call functions in their code
- Add code to strings using f-strings","Argument, Call, Console, Debugging, Assign, Comment, Operator, Pseudocode, Variable, Editor, Error, Function, Input, Output, Program, Assign, Run, String, Syntax, User, input(), print(), f-string, multiline string","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,1,1.6,Speaking Style,Independent Project,"In this project, students build a program that uses slang in a story or conversation.","Students will:
- Follow a plan for a program using pseudocode
- Store slang words using variables
- Call functions in their code
- Add code to strings using f-strings","Argument, Call, Console, Debugging, Assign, Comment, Operator, Pseudocode, Variable, Editor, Error, Function, Input, Output, Program, Assign, Run, String, Syntax, User, input(), print(), f-string, multiline string","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,2,2.1,Can I Take Your Order?,Guided Project,"In this project, students build a program to take a user's restaurant order, calculate the total price, and print a receipt.","Students will:
- Store numbers and prices as float data types
- Cast user orders to floats for calculating
- Use operators to calculate cost amounts
- Round amounts to dollars and cents","Cast, Data Type, Expression, Float, Integer, Algorithm, Escape Character, Newline, Arithmetic Operator, float(), round(), Augmented Operator, int()","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,2,2.2,The G.O.A.T.,Guided Project,"In this project, students build a program to rate two people, two objects, two places, or something else, and decide which one is the best. ","Students will:
- Write comments to help plan the scoring algorithm
- Store scores as integer data types
- Use augmented operators to update score variables
- Add line breaks to strings using the \n character","Cast, Data Type, Expression, Float, Integer, Algorithm, Escape Character, Newline, Arithmetic Operator, float(), round(), Augmented Operator, int()","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,2,2.3,The Great Race,Team Project,"In this project, student teams build a program that simulates a race between five or more racers.","Student teams will:
- Store speeds and distances as integer or float data types
- Cast input to floats or integers for calculating
- Use operators to calculate each racer's speed or time
- Round amounts to a number of decimal places","Cast, Data Type, Expression, Float, Integer, Algorithm, Escape Character, Newline, Arithmetic Operator, float(), round(), Augmented Operator, int()","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,2,2.4,"I Want It, I Bought It",Independent Project,"In this project, students build a program that uses a shopping list to calculate out how long they'll have to work to buy everything on it.","Students will:
- Store numbers and prices as float data types
- Cast input to floats for calculating
- Round amounts to dollars and cents
- Add line breaks to strings using the \n character","Cast, Data Type, Expression, Float, Integer, Algorithm, Escape Character, Newline, Arithmetic Operator, float(), round(), Augmented Operator, int()","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,2,2.5,Sports Reporter,Independent Project,"In this project, students build a program to help a sports reporter take notes on facts and numbers from a game. The program will use that information to calculate player statistics and print out a short sports story about the game.","Students will:
- Write comments to help plan the statistical formulas
- Cast input to floats or integers for calculating
- Use operators to calculate statistics
- Round amounts and percentages","Cast, Data Type, Expression, Float, Integer, Algorithm, Escape Character, Newline, Arithmetic Operator, float(), round(), Augmented Operator, int()","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,2,2.6,Number Trick,Independent Project,"In this project, students demonstrate an understanding of how to use numbers and equations in Python.","Students will:
- Write comments to help plan the number trick algorithm
- Cast input to floats or integers for calculating
- Use operators to calculate each step of the number trick
- Add line breaks to strings using the \n character","Cast, Data Type, Expression, Float, Integer, Algorithm, Escape Character, Newline, Arithmetic Operator, float(), round(), Augmented Operator, int()","2-AP-10, 2-AP-11, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13"
Intro to Python,Capstone,1,Business Founder,Case Study,"A case study is an opportunity to reflect on important issues at the intersection of computer science and other fields of study. Students will read about a complex topic, form their own opinion, and build a Python program that incorporates what they learned. Finally, students will develop a response that demonstrates their latest thinking on the topic and how it was reflected in their project. The focus of this case study is on turning an idea into a business plan. For this case study, students will respond to the following question: What would it take to start a worthwhile business?","Students will:
- Use number variables to store details about their proposed business
- Ask the user to enter the number of units expected to be sold
- Use math operators to simulate their business, calculating revenue and net profit/loss
- Use f-strings to print a report on their proposed business",,"2-AP-10, 2-AP-11, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19, 3A-AP-13, 3A-AP-19, 3A-AP-21, 3A-AP-22, 3A-AP-23"
Intro to Python,3,3.1,Snack Shack,Guided Project,"In this project, you'll imagine a food stand that sells donuts, pizza, ice cream, or another snack of your choice. Your program will show pictures of the food in your console based on user input.","Students will:
- Use if, elif, and else statements to choose which snack will print
- Run different code based on user input
- Check if a number is equal to or greater than another number
- Use the repetition operator to print multiple strings ","Boolean Expression, Branch, Code Block, Conditional Statement, Comparison Operator, If-elif-else, Repetition Operator, Nest, Comparison Operator, Logical Operator","2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19, 3A-AP-13, 3A-AP-15"
